userID,artistID,weight,id,artist_name,cnt
2,51,13883,51,Duran Duran,111
4,51,228,51,Duran Duran,111
27,51,85,51,Duran Duran,111
28,51,10,51,Duran Duran,111
62,51,528,51,Duran Duran,111
63,51,563,51,Duran Duran,111
66,51,910,51,Duran Duran,111
73,51,1962,51,Duran Duran,111
96,51,63,51,Duran Duran,111
117,51,1244,51,Duran Duran,111
128,51,5254,51,Duran Duran,111
141,51,548,51,Duran Duran,111
142,51,221,51,Duran Duran,111
176,51,4266,51,Duran Duran,111
185,51,49,51,Duran Duran,111
187,51,295,51,Duran Duran,111
191,51,23,51,Duran Duran,111
196,51,6015,51,Duran Duran,111
211,51,128,51,Duran Duran,111
224,51,303,51,Duran Duran,111
263,51,386,51,Duran Duran,111
264,51,524,51,Duran Duran,111
266,51,55,51,Duran Duran,111
269,51,26,51,Duran Duran,111
275,51,77,51,Duran Duran,111
290,51,23,51,Duran Duran,111
306,51,76,51,Duran Duran,111
338,51,2002,51,Duran Duran,111
359,51,1317,51,Duran Duran,111
374,51,71,51,Duran Duran,111
397,51,60,51,Duran Duran,111
423,51,732,51,Duran Duran,111
428,51,61012,51,Duran Duran,111
430,51,7488,51,Duran Duran,111
436,51,2178,51,Duran Duran,111
446,51,3669,51,Duran Duran,111
452,51,172,51,Duran Duran,111
453,51,235,51,Duran Duran,111
480,51,330,51,Duran Duran,111
488,51,165,51,Duran Duran,111
499,51,7,51,Duran Duran,111
515,51,274,51,Duran Duran,111
539,51,42,51,Duran Duran,111
540,51,4753,51,Duran Duran,111
568,51,450,51,Duran Duran,111
576,51,398,51,Duran Duran,111
577,51,71,51,Duran Duran,111
592,51,16725,51,Duran Duran,111
596,51,536,51,Duran Duran,111
643,51,940,51,Duran Duran,111
656,51,263,51,Duran Duran,111
658,51,220,51,Duran Duran,111
683,51,3127,51,Duran Duran,111
686,51,719,51,Duran Duran,111
694,51,332,51,Duran Duran,111
699,51,1010,51,Duran Duran,111
714,51,439,51,Duran Duran,111
761,51,3500,51,Duran Duran,111
769,51,238,51,Duran Duran,111
788,51,726,51,Duran Duran,111
791,51,97,51,Duran Duran,111
832,51,167,51,Duran Duran,111
864,51,182,51,Duran Duran,111
959,51,78,51,Duran Duran,111
1003,51,919,51,Duran Duran,111
1010,51,18,51,Duran Duran,111
1029,51,330,51,Duran Duran,111
1038,51,461,51,Duran Duran,111
1074,51,1971,51,Duran Duran,111
1089,51,109,51,Duran Duran,111
1115,51,4,51,Duran Duran,111
1149,51,15,51,Duran Duran,111
1163,51,19,51,Duran Duran,111
1192,51,618,51,Duran Duran,111
1200,51,1712,51,Duran Duran,111
1202,51,3261,51,Duran Duran,111
1209,51,1073,51,Duran Duran,111
1210,51,103150,51,Duran Duran,111
1229,51,157,51,Duran Duran,111
1232,51,65,51,Duran Duran,111
1235,51,410,51,Duran Duran,111
1249,51,235,51,Duran Duran,111
1327,51,69,51,Duran Duran,111
1336,51,276,51,Duran Duran,111
1343,51,14,51,Duran Duran,111
1384,51,222,51,Duran Duran,111
1427,51,2485,51,Duran Duran,111
1454,51,332,51,Duran Duran,111
1456,51,1447,51,Duran Duran,111
1498,51,525,51,Duran Duran,111
1505,51,451,51,Duran Duran,111
1514,51,275,51,Duran Duran,111
1541,51,148,51,Duran Duran,111
1585,51,24657,51,Duran Duran,111
1643,51,21572,51,Duran Duran,111
1722,51,100,51,Duran Duran,111
1724,51,111,51,Duran Duran,111
1775,51,104,51,Duran Duran,111
1818,51,1,51,Duran Duran,111
1845,51,2303,51,Duran Duran,111
1853,51,344,51,Duran Duran,111
1866,51,19190,51,Duran Duran,111
1881,51,2182,51,Duran Duran,111
1900,51,721,51,Duran Duran,111
1905,51,745,51,Duran Duran,111
1956,51,817,51,Duran Duran,111
1958,51,37,51,Duran Duran,111
2014,51,265,51,Duran Duran,111
2025,51,647,51,Duran Duran,111
2055,51,1716,51,Duran Duran,111
2075,51,166,51,Duran Duran,111
2,55,8983,55,Kylie Minogue,298
7,55,3151,55,Kylie Minogue,298
13,55,6,55,Kylie Minogue,298
21,55,4097,55,Kylie Minogue,298
24,55,5956,55,Kylie Minogue,298
25,55,185,55,Kylie Minogue,298
29,55,404,55,Kylie Minogue,298
31,55,147,55,Kylie Minogue,298
48,55,13,55,Kylie Minogue,298
53,55,33,55,Kylie Minogue,298
54,55,116,55,Kylie Minogue,298
72,55,6,55,Kylie Minogue,298
75,55,500,55,Kylie Minogue,298
95,55,127,55,Kylie Minogue,298
98,55,99,55,Kylie Minogue,298
110,55,677,55,Kylie Minogue,298
117,55,405,55,Kylie Minogue,298
