,artistID,tagID,tagValue,name
0,52,13,chillout,Morcheeba
1,52,15,downtempo,Morcheeba
2,52,18,electronic,Morcheeba
3,52,21,trip-hop,Morcheeba
4,52,41,female vovalists,Morcheeba
5,52,20,lounge,Morcheeba
6,52,39,dance,Morcheeba
7,52,24,pop,Morcheeba
8,52,102,hip-hop,Morcheeba
9,52,127,seen live,Morcheeba
10,52,130,female vocalists,Morcheeba
11,52,184,soundtrack,Morcheeba
12,52,238,sexy,Morcheeba
13,52,727,vocal,Morcheeba
14,52,826,chill,Morcheeba
15,52,1492,relax,Morcheeba
16,52,557,easy listening,Morcheeba
17,52,4847,my fav songs,Morcheeba
18,52,5083,science,Morcheeba
19,52,6794,cities,Morcheeba
20,52,6796,transport,Morcheeba
21,52,6808,cars,Morcheeba
22,52,8730,drug music,Morcheeba
23,52,2336,favorite artist,Morcheeba
24,52,10534,alsolike,Morcheeba
25,52,11083,the end,Morcheeba
26,52,11613,btvs,Morcheeba
27,63,13,chillout,Enigma
28,63,18,electronic,Enigma
29,63,14,ambient,Enigma
30,63,23,new age,Enigma
31,63,40,gregorian chant,Enigma
32,63,79,alternative,Enigma
33,63,134,singer-songwriter,Enigma
34,63,187,electronica,Enigma
35,63,191,instrumental,Enigma
36,63,229,epic,Enigma
37,63,309,electro,Enigma
38,63,352,90s,Enigma
39,63,370,favorite,Enigma
40,63,238,sexy,Enigma
41,63,727,vocal,Enigma
42,63,801,hypnotic,Enigma
43,63,825,relaxing,Enigma
44,63,835,nostalgia,Enigma
45,63,845,meditative,Enigma
46,63,836,dreamy,Enigma
47,63,1032,1991,Enigma
48,63,1492,relax,Enigma
49,63,1495,sex,Enigma
50,63,2101,enigmatic,Enigma
51,63,3467,enigma,Enigma
52,63,2362,dream,Enigma
53,63,6242,blue deep,Enigma
54,63,6445,post modern,Enigma
55,63,6444,coisa de deus,Enigma
56,63,7113,relaxing music,Enigma
57,63,7243,lyrical brilliance,Enigma
58,63,8024,deutschland,Enigma
59,63,12530,macumba music,Enigma
60,73,13,chillout,Café Del Mar
61,73,15,downtempo,Café Del Mar
62,73,18,electronic,Café Del Mar
63,73,21,trip-hop,Café Del Mar
64,73,14,ambient,Café Del Mar
65,73,20,lounge,Café Del Mar
66,73,22,acid jazz,Café Del Mar
67,73,26,atmospheric,Café Del Mar
68,73,38,cafe del mar,Café Del Mar
69,73,79,alternative,Café Del Mar
70,73,78,alternative rock,Café Del Mar
71,73,85,funk,Café Del Mar
72,73,83,jazz,Café Del Mar
73,73,130,female vocalists,Café Del Mar
74,73,234,amazing,Café Del Mar
75,73,299,world,Café Del Mar
76,73,825,relaxing,Café Del Mar
